FX (Kraft 2),FY (Kraft 1),UXKNGesamt,UYKNGesamt,FX (Kraft 2),FY (Kraft 1),UXKNGesamt,UYKNGesamt
-3024.6122,758.94842,-0.54397,0.7820941,-3037.1068,760.26409,-0.54562,0.755976
-3031.1922,756.97542,-0.55465,0.7972371,-3043.6868,761.57909,-0.55683,0.770651
-3027.9022,758.29142,-0.56538,0.8126421,-3043.6868,762.23709,-0.56834,0.785478
-3033.1622,757.63342,-0.57625,0.8279451,-3044.3468,762.89509,-0.57979,0.800164
-3025.9322,753.68742,-0.58784,0.8436631,-3014.7468,756.31809,-0.59264,0.815946
-2998.9622,751.05642,-0.60008,0.8599901,-3047.6368,763.55209,-0.60367,0.829451
-3031.8522,758.94842,-0.61022,0.8740231,-3045.6568,764.21009,-0.61571,0.844441
-2981.2122,745.79542,-0.62327,0.8919481,-2993.0468,747.11109,-0.63046,0.862292
-2991.0722,749.08342,-0.63492,0.9070501,-3041.0568,762.89509,-0.64089,0.874849
-2993.7022,749.74142,-0.64661,0.9222571,-3060.7868,765.52509,-0.65262,0.889187
-2982.5222,744.48042,-0.65847,0.9379321,-3061.4468,766.18309,-0.66424,0.903976
-3036.4522,760.92142,-0.66836,0.9508991,-3006.1968,748.42609,-0.67941,0.920738
-3038.4222,760.26442,-0.68035,0.9660301,-3005.5468,753.68709,-0.69228,0.935456
-3030.5322,760.26442,-0.69306,0.9818351,-2940.4368,736.58809,-0.70834,0.952812
-2972.6622,745.79542,-0.7081,0.9991941,-3005.5468,749.74109,-0.71916,0.96489
-2922.6722,732.64242,-0.72473,1.0169921,-2881.2468,719.48909,-0.74019,0.984835
,,,,-2700.3868,674.76709,-0.76511,1.007939
