F1_a(N);Delta_u13_a(mm);F2_a(N);Delta_u24_a(mm);F1_b2(N);Delta_u13_b2(mm);F2_b2(N);Delta_u24_b2(mm)
5811.81;0.51497914;-3016.08;-0.4349033;5737.49;0.53571807;-3029.23;-0.46428857
5836.14;0.52627114;-3030.54;-0.4446503;5767.74;0.54750107;-3038.44;-0.47422957
5857.84;0.53772214;-3046.33;-0.4544023;5782.21;0.55906607;-3049.62;-0.48448657
5882.83;0.54904314;-3056.19;-0.4643263;5805.89;0.57103507;-3068.69;-0.49484357
5896.65;0.56034714;-3071.98;-0.4745083;5831.54;0.58282107;-3078.55;-0.50495857
5926.24;0.57152614;-3083.82;-0.4836493;5859.82;0.59495107;-3082.5;-0.51550557
5947.94;0.58308014;-3092.37;-0.4936013;5882.18;0.60694607;-3096.31;-0.52621257
5981.48;0.59476114;-3106.18;-0.5035983;5903.22;0.61902407;-3116.7;-0.53685757
5998.58;0.60634714;-3114.07;-0.5136163;5925.58;0.63102607;-3124.59;-0.54729957
6024.89;0.61830214;-3126.56;-0.5237053;5945.31;0.64319807;-3138.4;-0.55824557
6039.36;0.63011814;-3137.74;-0.5338163;5961.1;0.65578707;-3147.61;-0.56893657
6061.72;0.64215814;-3147.61;-0.5442813;5980.17;0.66797307;-3156.16;-0.57990557
6085.4;0.65402414;-3160.76;-0.5546353;6006.48;0.68073007;-3162.08;-0.59092557
6105.78;0.66602814;-3168.66;-0.5649453;6031.47;0.69341507;-3181.81;-0.60219057
6125.51;0.67828214;-3177.86;-0.5756103;6051.2;0.70604507;-3185.75;-0.61322157
6144.59;0.69059614;-3189.7;-0.5860293;6068.3;0.71866607;-3192.99;-0.62442357
6164.97;0.70286214;-3196.28;-0.5970473;6083.42;0.73141107;-3201.54;-0.63543757
6186.68;0.71538514;-3209.43;-0.6081003;6105.78;0.74390307;-3219.95;-0.64669257
6205.75;0.72787714;-3217.32;-0.6189493;6115.65;0.75680007;-3225.21;-0.65836757
6223.51;0.74035614;-3227.19;-0.6298533;6143.93;0.77011607;-3233.76;-0.66960057
6239.95;0.75276814;-3236.4;-0.6408893;6165.63;0.78326807;-3242.97;-0.68165357
6264.94;0.76556714;-3251.52;-0.6521863;6179.44;0.79664607;-3250.86;-0.69343257
6282.04;0.77837114;-3252.84;-0.6634843;6190.62;0.80965107;-3257.44;-0.70539357
6297.82;0.79132214;-3268.62;-0.6750143;6209.04;0.82285907;-3268.62;-0.71716457
6312.29;0.80449214;-3276.51;-0.6865973;6234.69;0.83633307;-3271.25;-0.72894457
6332.02;0.81753414;-3280.46;-0.6984173;6248.5;0.84947107;-3279.8;-0.74104657
6344.52;0.83020114;-3296.24;-0.7105453;6264.94;0.86297607;-3293.61;-0.75296557
6359.64;0.84368914;-3298.87;-0.7218343;6277.44;0.87630807;-3300.85;-0.76507957
6380.69;0.85683814;-3305.45;-0.7338413;6290.59;0.89010007;-3306.11;-0.77735357
6400.42;0.87009814;-3317.29;-0.7456593;6307.03;0.90362507;-3310.71;-0.78963157
6416.2;0.88326814;-3319.26;-0.7574423;6317.55;0.91711007;-3317.29;-0.80203257
6431.99;0.89674714;-3329.13;-0.7697283;6328.08;0.93087607;-3331.1;-0.81453057
6446.46;0.91029214;-3339.65;-0.7820193;6343.86;0.94460007;-3337.02;-0.82703057
6456.32;0.92380814;-3342.28;-0.7941823;6358.33;0.95856207;-3340.31;-0.83967157
6475.4;0.93709214;-3344.91;-0.8064133;6362.93;0.97240207;-3343.6;-0.85266957
6489.86;0.95078414;-3356.75;-0.8191413;6387.27;0.98641907;-3348.86;-0.86564657
6498.41;0.96460914;-3369.24;-0.8316263;6396.47;1.00058207;-3363.98;-0.87875057
6515.51;0.97827314;-3371.22;-0.8442813;6405.68;1.01464907;-3364.64;-0.89147257
6524.72;0.99241014;-3372.53;-0.8570303;6408.97;1.02885107;-3365.96;-0.90473857
6535.9;1.00635014;-3387;-0.8700893;6428.04;1.04358707;-3375.82;-0.91822057
6547.74;1.02052714;-3388.32;-0.8830113;6436.59;1.05758707;-3377.79;-0.93184357
6556.29;1.03459314;-3390.29;-0.8962113;6445.14;1.07198107;-3387.66;-0.94520257
6569.44;1.04843214;-3402.13;-0.9094923;6444.48;1.08686507;-3381.74;-0.95923457
6580.62;1.06286314;-3403.44;-0.9227593;;;;
6588.51;1.07718614;-3410.02;-0.9361403;;;;
6588.51;1.09149214;-3411.99;-0.9497683;;;;
